id_resultat,id_resultat_source,source,id_athlete_base_resultats,id_personne,athlete_nom,athlete_prenom,id_equipe,equipe_en,id_pays,pays_en_base_resultats,classement_epreuve,performance_finale_texte,performance_finale,id_evenement,evenement,evenement_en,categorie_age,id_edition,id_competition_sport,competition_en,id_type_competition,type_competition,edition_saison,date_debut_edition,date_fin_edition,id_ville_edition,edition_ville_en,id_nation_edition_base_resultats,edition_nation_en,id_sport,sport,sport_en,id_discipline_administrative,discipline_administrative,id_specialite,specialite,id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_federation,federation,federation_nom_court,dt_creation,dt_modification
13633934,405294788,infostrada,,,,,96340,France,75,France,4.0,41.993,41993.0,672110,Team Sprint (3 Persons) - Men,Team Sprint (3 Persons) - Men,Senior,58839,337,Olympic Games,1,JO été,2024,26/07/2024,11/08/2024,295,Paris,23,France,13,Cyclisme - Piste,Cycling - Track,22,Piste,48,Sprint,981,Sprint Par équipes - Hommes,Hommes,Equipe,0,1,1,0,0,21,Fédération Française de Cyclisme,CYCLISME,2024-08-07 03:00:44.920,2025-03-18 02:08:04.043
8373856,34496732,infostrada,4860480.0,-1.0,KONG,Yvette,94465,"Hong Kong, China",99,"Hong Kong, China",32.0,31/08/2056 1:00,69560.0,527996,100m Breaststroke - Women,100m Breaststroke - Women,Senior,30060,301,Olympic Games,1,JO été,2016,05/08/2016,21/08/2016,1145,Rio de Janeiro,53,Brazil,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,6859,100m Brasse - Femmes,Femmes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10171131,40369120,infostrada,4785961.0,47305.0,GUIGONNAT,Antonin,95788,France,75,France,23.0,02/05/2033 1:59,3033500.0,553793,20km Individual - Men,20km Individual - Men,Senior,33827,88,Olympic Games,2,JO Hiver,2018,09/02/2018,25/02/2018,1088,Pyeongchang,162,Korea,41,Biathlon,Biathlon,109,Biathlon,246,Biathlon,247,Individuel 20km - Hommes,Hommes,Individuel,1,1,0,0,0,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
8189218,600643383,infostrada,,,,,602,Spain,69,Spain,7.0,,,375169,Team - Women,Team - Women,Senior,35872,415,Olympic Games,1,JO été,2020,23/07/2021,08/08/2021,785,Tokyo,59,Japan,25,Hockey sur Gazon,Hockey,67,Hockey sur gazon,111,Hockey sur gazon,6469,Hockey Equipe F,Femmes,Equipe,0,1,1,0,0,30,Fédération Française de Hockey,HOCKEY,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
8432363,40379136,infostrada,4704446.0,-1.0,HELLNER,Marcus,94446,Sweden,211,Sweden,8.0,23/06/2000 10:00,2062600.0,553934,15km Freestyle - Men,15km Freestyle - Men,Senior,33828,90,Olympic Games,2,JO Hiver,2018,09/02/2018,25/02/2018,1088,Pyeongchang,162,Korea,67,Ski de fond,Cross Country Skiing,108,Ski de fond,258,Ski de fond,110,15km Style libre - Hommes,Hommes,Individuel,1,1,0,0,0,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2024-12-22 02:01:02.817
13627062,64429863,infostrada,16722392.0,-1.0,HARVEY,Emma,92878,Bermuda,22,Bermuda,23.0,31/12/1977 1:00,61780.0,655118,100m Backstroke - Women,100m Backstroke - Women,Senior,58829,301,Olympic Games,1,JO été,2024,26/07/2024,11/08/2024,295,Paris,23,France,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,6566,100m Dos - Femmes,Femmes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-07-31 03:00:51.033,2024-10-03 03:00:58.303
13625816,64449053,infostrada,3041115.0,-1.0,LÕIV,Janika,96329,Estonia,70,Estonia,19.0,1:35,5705000.0,597577,Cross Country - Women,Cross Country - Women,Senior,58837,462,Olympic Games,1,JO été,2024,26/07/2024,11/08/2024,295,Paris,23,France,12,Cyclisme - VTT,Mountain Bike,256,VTT,54,Cross-country,6696,Cross Country - Femmes,Femmes,Individuel,1,1,1,0,0,21,Fédération Française de Cyclisme,CYCLISME,2024-07-29 03:00:50.940,2024-10-02 03:00:57.673
6709742,34576014,infostrada,4892552.0,-1.0,BALLA,Musaeb Abdulrahman,96945,Qatar,185,Qatar,,,,529675,800m - Men,800m - Men,Senior,30322,413,Olympic Games,1,JO été,2016,05/08/2016,21/08/2016,1145,Rio de Janeiro,53,Brazil,28,Athlétisme,Athletics,251,Athlétisme disciplines olympiques,9,Demi-fond,299,800m - Hommes,Hommes,Individuel,1,1,1,0,0,9,Fédération Française d'Athlétisme,ATHLETISME,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
7120774,404337406,infostrada,,,,,91534,Cuba,57,Cuba,17.0,30/11/2046 7:00,467400.0,556483,Single Sculls - Women,Single Sculls - Women,Senior,35888,315,Olympic Games,1,JO été,2020,23/07/2021,08/08/2021,785,Tokyo,59,Japan,15,Aviron,Rowing,8,Aviron,25,Aviron,6620,Skiff - Femmes,Femmes,Equipe,0,1,1,0,0,79,Fédération Française d'Aviron,AVIRON,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
13627967,64430681,infostrada,18211883.0,-1.0,ZHANG,Boheng,91858,China,46,China,2.0,86.599,86599.0,672202,Individual All-Around - Men,Individual All-Around - Men,Senior,58844,488,Olympic Games,1,JO été,2024,26/07/2024,11/08/2024,295,Paris,23,France,26,Gymnastique artistique,Gymnastics - Artistic,311,Gymnastique artistique masculine,84,Gymnastique artistique Masculine,574,Concours général - Hommes,Hommes,Individuel,1,1,1,0,1,28,Fédération Française de Gymnastique,GYMNASTIQUE,2024-08-01 03:00:45.920,2025-03-29 02:04:14.400
